,item_id,date,p10,p50,p90
0,client_339,2015-01-01T01:00:00Z,24.4231281281,28.1767807007,33.5384368896
1,client_339,2015-01-01T02:00:00Z,11.2058353424,16.806394577,22.3306922913
2,client_339,2015-01-01T03:00:00Z,8.4566011429,14.2016811371,20.6888389587
3,client_339,2015-01-01T04:00:00Z,10.0693378448,15.8032474518,22.2480545044
4,client_339,2015-01-01T05:00:00Z,7.5691776276,14.942782402,23.1296310425
0,client_339,2015-01-01T01:00:00Z,24.4231281281,28.1767807007,33.5384368896
1,client_339,2015-01-01T02:00:00Z,11.2058353424,16.806394577,22.3306922913
2,client_339,2015-01-01T03:00:00Z,8.4566011429,14.2016811371,20.6888389587
3,client_339,2015-01-01T04:00:00Z,10.0693378448,15.8032474518,22.2480545044
4,client_339,2015-01-01T05:00:00Z,7.5691776276,14.942782402,23.1296310425
0,client_270,2015-01-01T01:00:00Z,66.17179870605469,75.78939819335938,105.26190185546876
1,client_270,2015-01-01T02:00:00Z,65.9833984375,75.7874984741211,117.39640045166016
2,client_270,2015-01-01T03:00:00Z,65.60659790039061,75.03389739990234,131.30180358886722
3,client_270,2015-01-01T04:00:00Z,65.41819763183594,75.7874984741211,132.05540466308594
4,client_270,2015-01-01T05:00:00Z,66.73699951171875,94.52149963378906,155.4803924560547
5,client_358,2015-01-01T01:00:00Z,22.84927766929561,34.01250457963991,49.55982133381411
6,client_358,2015-01-01T02:00:00Z,20.27717258462504,32.26324120065814,49.38628965413118
7,client_358,2015-01-01T03:00:00Z,25.609918740655953,37.389856616724906,51.46173145412318
8,client_358,2015-01-01T04:00:00Z,22.23401019617188,34.185186840303196,49.97184410839738
9,client_358,2015-01-01T05:00:00Z,21.56102036185073,34.82207533198055,50.068387292914494
10,client_72,2015-01-01T01:00:00Z,41.57258803927175,45.53613690302828,49.49968576678481
11,client_72,2015-01-01T02:00:00Z,37.36325440099544,42.304106933514674,47.24495946603389
12,client_72,2015-01-01T03:00:00Z,35.18280882414557,40.92235894304052,46.661909061935475
13,client_72,2015-01-01T04:00:00Z,32.37962987946564,38.74004562732138,45.10046137517712
14,client_72,2015-01-01T05:00:00Z,30.91487003894322,37.83419055067087,44.753511062398516
0,client_139,2015-01-01T01:00:00Z,115.15743130035284,156.0967836994766,202.3161141739967
1,client_139,2015-01-01T02:00:00Z,94.0689996548012,147.0090667801144,206.18014160506152
2,client_139,2015-01-01T03:00:00Z,82.5178693465962,141.347090128759,206.02176360217305
3,client_139,2015-01-01T04:00:00Z,70.34645053348694,134.8240983673769,203.696120403428
4,client_139,2015-01-01T05:00:00Z,62.66888656533376,130.78134176338042,203.73751539572189
0,client_176,2015-01-01T01:00:00Z,47.647510528599994,55.9798355103,65.3773651123
1,client_176,2015-01-01T02:00:00Z,53.320602416999996,62.819858551,74.623878479
2,client_176,2015-01-01T03:00:00Z,53.9760093689,66.7915878296,79.8097457886
3,client_176,2015-01-01T04:00:00Z,48.983448028599994,63.727870941199996,76.4798736572
4,client_176,2015-01-01T05:00:00Z,47.8298339844,58.989414215100005,74.5513000488
5,client_47,2015-01-01T01:00:00Z,14.54708293963048,17.503113210769342,20.57877545128878
6,client_47,2015-01-01T02:00:00Z,13.561258171991895,16.289073831409322,19.29246188221094
7,client_47,2015-01-01T03:00:00Z,13.202735778276258,16.029529292724952,18.347061852877477
8,client_47,2015-01-01T04:00:00Z,13.314631869665966,15.776188011551811,18.92959229620666
9,client_47,2015-01-01T05:00:00Z,12.905230562464206,15.570213149553135,18.43543798923813
0,client_111,2015-01-01T01:00:00Z,50.852089736571976,60.1363859119415,69.23604542334748
1,client_111,2015-01-01T02:00:00Z,48.06928733805065,59.221334573480846,70.5991180575838
2,client_111,2015-01-01T03:00:00Z,47.06716728020474,57.925684235464935,69.27821414385228
3,client_111,2015-01-01T04:00:00Z,46.739768457307136,57.61909704460264,70.76322378248108
4,client_111,2015-01-01T05:00:00Z,45.81589298676187,58.434000754987686,70.48426926828427
5,client_128,2015-01-01T01:00:00Z,104.08184503242424,110.01596656402604,115.95008809562785
6,client_128,2015-01-01T02:00:00Z,101.83847580105335,109.40377269904069,116.96906959702801
7,client_128,2015-01-01T03:00:00Z,99.58435912858592,108.43077909284905,117.2771990571122
8,client_128,2015-01-01T04:00:00Z,98.50297991912923,108.52811610051305,118.55325228189685
9,client_128,2015-01-01T05:00:00Z,95.8197439855525,106.70795995780122,117.59617593004995
10,client_148,2015-01-01T01:00:00Z,23.53200248175357,25.41839217679527,26.91800050582157
11,client_148,2015-01-01T02:00:00Z,23.218883707526317,25.389770692352705,27.650009261642712
12,client_148,2015-01-01T03:00:00Z,22.830379421582702,24.88341715903659,27.463310479976286
13,client_148,2015-01-01T04:00:00Z,22.693524025772234,24.964039158356496,27.709243744661396
14,client_148,2015-01-01T05:00:00Z,22.13933760995911,24.67722146380034,27.40447780576612
15,client_314,2015-01-01T01:00:00Z,36.477246424686726,45.32390099252717,54.155926832463635
16,client_314,2015-01-01T02:00:00Z,31.42171297318823,41.46749384724792,52.52157812194724
17,client_314,2015-01-01T03:00:00Z,32.33449514426956,40.651524196144145,49.8191191842062
18,client_314,2015-01-01T04:00:00Z,28.293894047072786,38.92792414378725,46.87258140078396
19,client_314,2015-01-01T05:00:00Z,32.30575313701706,42.32392791723212,52.36034942087413
20,client_355,2015-01-01T01:00:00Z,-8.49994149442164,6.269706629938265,25.29233220344395
21,client_355,2015-01-01T02:00:00Z,-15.965971601837316,0.4580590295610278,22.443636779566237
22,client_355,2015-01-01T03:00:00Z,-12.145640840318176,3.293659187441316,18.93381010305603
23,client_355,2015-01-01T04:00:00Z,-11.332642550584865,4.454769630169622,25.32033401569429
24,client_355,2015-01-01T05:00:00Z,-12.615136968876298,5.255327197735099,22.147151528632463
0,client_322,2015-01-01T01:00:00Z,552.9971313477,632.6581420898,706.007019043
1,client_322,2015-01-01T02:00:00Z,546.8399658203,633.1278076172,706.1585083008
2,client_322,2015-01-01T03:00:00Z,556.7276611328,637.016784668,742.2592773438
3,client_322,2015-01-01T04:00:00Z,558.7220458984,658.6351318359,750.2058105469
4,client_322,2015-01-01T05:00:00Z,543.4893798828,651.2550048828,741.410949707
0,client_81,2015-01-01T01:00:00Z,35.14577775224671,39.92958255005301,44.646898407343045
1,client_81,2015-01-01T02:00:00Z,32.02633750270763,37.312634682310936,43.57080328967748
2,client_81,2015-01-01T03:00:00Z,30.60544297957665,35.35131365285275,42.49008454281424
3,client_81,2015-01-01T04:00:00Z,29.453583599780213,34.45858010097232,41.523320118887504
4,client_81,2015-01-01T05:00:00Z,27.18899039051406,33.03462418212276,39.04837690580572
0,client_106,2015-01-01T01:00:00Z,5.4905992346124615,6.577470610780482,7.6643419869485045
1,client_106,2015-01-01T02:00:00Z,5.064425176754594,6.626509101941375,8.188593027128153
2,client_106,2015-01-01T03:00:00Z,4.622857640422871,6.522735647924475,8.42261365542608
3,client_106,2015-01-01T04:00:00Z,4.197248151886817,6.352772083820442,8.508296015754066
4,client_106,2015-01-01T05:00:00Z,3.891624075629165,6.304217604258688,8.71681113288821
5,client_113,2015-01-01T01:00:00Z,124.34645993878935,143.5545369917289,162.7626140446685
6,client_113,2015-01-01T02:00:00Z,106.64985936997469,129.58331547071336,152.516771571452
7,client_113,2015-01-01T03:00:00Z,88.90782692202764,112.79471788032566,136.6816088386237
8,client_113,2015-01-01T04:00:00Z,82.29370466124038,108.5431158776844,134.7925270941284
9,client_113,2015-01-01T05:00:00Z,79.01782765116323,108.05942120918094,137.1010147671987
10,client_180,2015-01-01T01:00:00Z,58.347395198147574,71.42137211843058,85.54479668781349
